2^2-1,4754,3,
2^4-1,1617,3,
2^5-1,13224,31,
2^6-1,1370,21,
2^7-1,5141,127,
2^8-1,1988,3,
2^9-1,2051,7,
2^10-1,1950,93,
2^11-1,3459,23,
2^12-1,1437,147,
2^13-1,74940,8191,
2^14-1,1675,3,
2^15-1,2104,7,
2^16-1,1522,3,
2^17-1,215147,131071,
2^18-1,1620,21,
2^19-1,1059947,524287,
2^20-1,2372,3,
2^21-1,2717,7,
2^22-1,1650,3,
2^23-1,4367,47,
2^24-1,1662,273,
2^25-1,5597,31,
2^26-1,1704,3,
2^27-1,1710,49,
2^28-1,1093,5,
2^29-1,12953,2089,
2^30-1,2050,3,
2^32-1,2326,3,
2^33-1,3075,7,
2^34-1,2124,3,
2^35-1,2675,31,
2^36-1,1833,3,
2^37-1,8739,223,
2^38-1,2180,3,
2^39-1,1837,79,
2^40-1,1851,3,
2^41-1,66841,13367,
2^42-1,2665,21,
2^43-1,24984,431,
2^44-1,1521,5,
2^45-1,1938,217,
2^46-1,1992,3,
2^47-1,35237,4513,
2^48-1,1204,5,
2^49-1,10810,127,
2^50-1,2063,93,
2^51-1,2780,49,
2^52-1,2834,3,
2^53-1,135545,6361,
2^54-1,2333,399,
2^55-1,3601,23,
2^56-1,2057,3,
2^57-1,4410,7,
2^58-1,2366,3,
2^59-1,240369,179951,
2^60-1,1322,5,
2^62-1,3257,3,
2^63-1,2290,511,
2^64-1,1490,5,
2^65-1,8193,31,
2^66-1,3213,3,
2^67-1,34049259,193707721,
2^68-1,13533,3,
2^69-1,4341,7,
2^70-1,3233,43,
2^71-1,993016,228479,
2^72-1,1902,25,
2^73-1,53835,439,
2^74-1,13621,3,
2^75-1,6683,217,
2^76-1,1643,5,
2^77-1,8219,23,
2^78-1,2963,7,
2^79-1,168109,2687,
2^80-1,12914,3,
2^81-1,6924,7,
2^82-1,3049,3,
2^83-1,19130,167,
2^84-1,3134,7,
2^85-1,6929,31,
2^86-1,3432,3,
2^87-1,4469,49,
2^88-1,1750,5,
2^90-1,3954,21,
2^91-1,39709,127,
2^92-1,13459,3,
2^93-1,3284,7,
2^94-1,3514,3,
2^95-1,11462,31,
2^96-1,4013,273,
2^97-1,200612,11447,
2^98-1,14800,3,
2^99-1,3965,49,
2^100-1,5807,3,
2^102-1,4272,21,
2^104-1,3902,471,
2^105-1,14225,7,
2^106-1,5875,3,
2^108-1,4357,19,
